client_id,total_sent,open_rate,unsubscription_rate,bounce_rate,complaint_rate
1014606,822,48.96,0,0.36,0
178364,2733,32.92,0,0.51,0
1326404,2241,26.29,0,2.41,0
457876,113,19.44,0,4.42,0
585566,162,42.77,0,1.85,0
354461,29230,17.93,0,1.73,0
1157197,311,21.4,0,3.86,0
448111,458,51.56,0,1.75,0
532004,331,26.59,0.6,0,0
989151,196,31.94,0,2.55,0
746208,11525,17.25,0,0.69,0.03
128722,17229,23.1,0,1.24,0
185848,559,30.22,0,4.11,0
1131722,7191,6.35,0,1.5,0
820577,14780,10.28,0,1.56,0
499190,12197,14.02,0,2.32,0
991494,5435,44.6,0,3.15,0
132145,281,33.58,0,2.49,0
1338688,578,20.53,0,1.38,0
478706,3799,14.64,0,3.97,0.05
384489,220,11.87,0,0.45,0
411854,1142,5.5,0,7.71,0
265994,1089,34.22,0,0.18,0.09
840146,4183,9.17,0,7.41,0
799846,31760,34.52,0,1.29,0
608396,131,24.39,0,6.11,0
301971,4117,23.26,0,1.43,0
1500589,477,14.23,0,1.26,0
484687,9317,16.49,0,7.62,0
1136398,463,44.98,0,1.08,0
1541579,205,30.54,0,0.98,0
787844,3071,23.22,0.2,4.62,0
1246319,29523,3.94,0,2.37,0.02
137528,5503,16.94,0,2.14,0
457093,8086,14.28,0,1,0
1480269,625,26.08,0,3.68,0
767976,29734,6.4,0.74,1.99,0.01
1345763,942,13.49,0,3.18,0
1292046,502,63.56,0,3.78,0
1322165,121,18.27,0,14.05,0
1107938,3446,19.8,0,0.93,0.06
848117,1091,6.28,0,0.82,0
543664,765,29.12,0,7.97,0.14
754110,1475,30.17,0,1.36,0
1125902,380,24.3,0,5.79,0
1481369,1474,32.9,0,0,0
340607,187,47.51,0.55,3.21,0
759100,12206,20.08,0,0.35,0
1005981,4708,4.41,0,1.68,0
391766,1787,99.61,0,0.06,0
467578,38565,11.57,0,0.14,0
1425832,3931,24.58,0.03,0.86,0
463124,8819,17.44,0.1,1.28,0
977779,398,81.66,0,0,0
279534,144,65.97,0,0,0
1105118,7766,21.81,0,1.83,0
1085868,4008,3.86,0,10.23,0.11
184809,117,63.79,0,0.85,0
565506,250,49.6,0,0,0
38221,6286,29.91,0,0.97,0
1537775,5265,11.34,0,1.33,0.02
339341,2953,32.42,0,0.68,0
687631,116,39.13,0,0.86,0
1483798,1373,9.39,0,0.73,0
1224983,1935,43.31,0,3.1,0
228558,373,27.95,0,2.14,0
189549,7609,17.89,0.13,2.02,0.04
1392620,2021,28.28,0,5.69,0
369556,342,36.86,0,3.22,0
239118,31934,36.12,0,0.7,0.02
749569,2132,28.06,0.05,10.23,0
1190784,733,14.39,0,2.32,0
187855,321,49.53,0,1.25,0
148735,6707,30.07,0.15,1.54,0
77397,18978,21.27,0.11,0.94,0
283030,35040,16.17,0.04,3.51,0
685635,6357,11.68,0,0.64,0
431606,6799,56.54,0,2.27,0
1335412,293,17.93,0,1.02,0
27640,3561,13.5,0,3.48,0
1040662,5143,31.94,0,0.76,0
1452700,2025,15.49,0,0.84,0
435793,263,55.04,0,1.9,0
14977,460,43.22,0,6.96,0
1161169,2671,23.69,0,1.54,0
1153697,1467,38.14,0,1.16,0
1014078,96459,10.63,0,0.23,0.01
549313,152,38.16,0,0,0
905506,480,41.26,0,1.04,0
952036,2030,5.71,0,7.64,0
1109686,1170,14.13,0,0.77,0
1250535,2098,1.39,0,3.67,0
462896,655,27.36,0,1.22,0
1148832,1545,32.68,0,0.39,0
750552,1741,40.16,0,6.32,0.06
110278,262,33.98,0,2.29,0
641239,35685,11.46,0,1.41,0
318906,6945,26.97,0,1.67,0
99860,951,14.59,0,1.26,0
1455908,1204,29.89,0,1.08,0
261119,292,44.79,0,1.37,0
184798,3889,34.31,0,1.52,0
796037,1227,31.26,0,0.65,0.08
1024502,5200,13.99,0,1.27,0
101319,358,21.69,0,0.84,0
1157660,4600,16.74,0.66,0.76,0
232988,1282,43.64,0,1.33,0
638433,12099,38.17,0,0.7,0
1110795,16727,5.82,0,2.58,0
1407187,580,30.92,0,2.41,0
1378208,676,30.02,0,1.92,0
813733,418,58.68,0,2.15,0
214376,1854,11.37,0,10.36,0
1382657,884,17.26,0,1.7,0
929051,277,24.35,0,2.17,0
1396319,147,65.31,0,0,0
826573,290,13.29,0,1.38,0
464363,5415,16.15,0,4.4,0
1330051,3872,37.52,0,0.39,0
424140,49317,4.31,0,1.3,0.04
792526,16906,5.08,0,0.48,0.01
941432,605,23.53,0,1.65,0
605230,930,38.92,0,0.54,0
1224354,14007,5.36,0.07,4.46,0.03
1020834,4694,23.81,0.04,1.94,0
752840,5590,24.61,0,1.88,0.04
1276900,14060,24.67,0.01,1.35,0
768640,2854,26.2,0,0.49,0
729653,1499,1.56,0,14.41,0.08
20147,504,3.82,0,1.39,0
20216,3746,24.14,0,3.44,0
854305,1803,23.32,0,6.05,0
622981,1111,21.35,0,2.61,0
488314,3172,22.58,0,2.68,0
815347,1011,32.63,0,1.48,0
827101,526,39.38,0,1.52,0
1208049,16268,11.59,0.03,1.35,0.03
1023353,288,19.79,0,0,0
857685,22450,22.3,0,0.74,0.01
404186,212,22.06,0,3.77,0
1327803,177,36,0,1.13,0
44412,8803,24.9,0,2.04,0
339579,3519,13.96,0,0.48,0
511356,299,23.94,0,13.38,0
226437,4181,15.99,0,5.93,0.03
775006,4014,26.44,0,3.99,0
690268,160,63.13,0,0,0
1155135,10292,28.61,0.1,0.69,0
1145129,143517,22.9,0.16,1.01,0
855890,6321,22.13,0,17.58,0
379922,211,36.08,0,8.06,0
574084,512,12.44,0,15.23,0
657822,3283,42.41,0,1.83,0
1512188,12099,16.06,0,0.67,0.06
66284,14152,28.01,0.08,0.97,0.01
102812,26248,15.1,0,2.35,0.07
173469,1269,52.69,0,0.39,0
1004721,1635,17.96,0,1.9,0
978827,300,8.28,0,3.33,0
647211,1169,18.94,0,1.54,0
1147629,313,30.19,0,1.6,0
1447219,525,17.76,0,4.57,0
136873,408,34.24,0.25,1.23,0
309600,198,38.38,0,0,0
1208065,3225,9.61,0,0.62,0
1230900,31110,19.67,0,2.12,0.01
2679,29889,42.21,0,0.58,0
1098791,1091,7.36,0,1.56,0
796318,7512,5.69,0,2.37,0.03
992671,866,75.26,0,0.12,0
58530,275,16.54,0,1.09,0
1497525,4426,42.08,0,1.2,0
454520,167,42.33,0,2.4,0
1173910,1032,36.09,0,3.88,0
1360036,2242,35.16,0,0.67,0
1238079,1116,23.06,0,1.7,0
998575,6151,37.07,0,0.63,0
162166,7779,14.03,0,1.66,0.03
1217446,118,41.88,0,0.85,0
666215,879,22.39,0,0.91,0
895837,1111,22.3,0,1.53,0.09
1099416,1831,21.11,0,0.93,0.06
761696,2317,13.34,0,0.65,0
825722,128137,14.77,0.04,2.04,0
1294221,25855,39.94,0.03,1.34,0
987408,183,45.76,0,3.28,0
907089,445,49.89,0,1.8,0.23
366227,679,29.93,0,0.59,0
1157693,41575,20.11,0,1.05,0.01
1361200,10421,17.21,0.22,1.42,0
1084343,4112,54.37,0,1.14,0
575013,336,41.37,0,0,0
1036186,6052,16.97,0,0.66,0
640282,637,24.64,0.32,1.88,0
851729,655,26.64,0,9.47,0
1342806,2647,15.58,0.08,3.74,0
99987,25533,13.89,0,0.56,0
1413631,2481,29.1,0.2,1.53,0
455355,3794,51.35,0,2.32,0
262650,5558,15.2,0,0.94,0
415676,6671,4.8,0,0.16,0.02
702862,7727,30.04,0,3.12,0.05
1356436,4870,38.23,0,0.64,0
1085836,2046,10.05,0,5.18,0
742688,3499,15.57,0,0.34,0
389934,5470,16.97,0,6.25,0
1097141,600,18.21,0,1.17,0
895771,383,48.8,0,2.09,0
1072120,1523,42.15,0,1.25,0
389048,2366,16.15,0.39,1.86,0
774248,4516,20.42,0,2.3,0
1051449,5593,25.55,0.02,1.2,0
1236002,2688,13.84,0,0.3,0
962871,779,26.23,0,1.16,0
1396781,291,7.87,0,8.25,0
1035270,775,15.49,0,0.9,0
1294339,873,18.62,0.47,3.44,0
84298,235,18.78,0,2.55,0
1135089,746,24.66,0,2.68,0
580643,420,41.25,0,0.71,0
564860,313,12.01,0,1.6,0
389311,5305,23.48,0.08,2.94,0.02
526176,9326,12.77,0,2.35,0.02
52406,573,57.07,0,66.67,0
728700,1616,10.8,0,2.04,0
683126,291,10.07,0,1.03,0
1054052,1572,37.91,0,0.83,0
1490953,1381,14.33,0,3.98,0
968534,13261,34.68,0.12,36.54,0
550119,1099,17.09,0,3.09,0
1201684,18574,36.25,0,0.93,0.01
703739,6568,25.73,0,0.41,0
1025183,10062,8.93,0,2.75,0.06
271212,4895,12.78,0,3.78,0
1265665,680,41.14,0,7.06,0
2380,29851,13.85,0,1.47,0.01
8989,36771,7.4,0,0.75,0
451745,8615,20.65,0,2.37,0
605369,4324,5.06,0,2.68,0.05
1234655,303,41.53,0,0.66,0
396758,2854,15.8,0.04,3.5,0
277023,600,28.52,0,11.17,0
344718,6946,10.82,0,4.74,0
70155,1110,38.9,0,1.35,0
87601,299,36.82,0,1,0
1089712,64458,16.2,0,5.28,0
999145,866,39.79,0,2.77,0
728538,3858,11.83,0.29,1.43,0
17017,919,31.31,0,3.05,0
244450,7330,11.22,0.05,0.45,0.01
102742,634,35.07,0,9.15,0
1229067,522,24.61,0,1.15,0
972043,456,22.49,0,1.54,0
614498,314,33.97,0,0.64,0
625331,965,23.98,0,1.04,0
138395,764,36.88,0,2.75,0
608687,3349,23.29,0,0.63,0
201878,150,32,0,0,0
474760,157,15.29,0,0,0
1092597,137,15.04,0,2.92,0
1222973,13812,12.68,0,1.11,0
915835,9404,6.78,0,2,0
1547666,449,26.91,0.22,0.67,0
358162,2790,23.55,0,3.05,0
947524,249,46.18,0,0,0
1355653,4978,17.53,0,0.54,0
594814,632,25.44,0,1.74,0
306221,3963,18.11,0,2.6,0
1042738,800,24.12,0,21.75,0
748435,295,15.52,0,1.69,0
938054,30122,5.89,0,3.19,0.01
866426,1377,34.49,0,3.56,0
471803,1631,12.6,0,1.72,0
1032613,1559,9.24,0,0.71,0
587886,300,28.87,0.7,5.33,0.35
1162869,3255,25.66,0,0.52,0
295129,11335,43.6,0.01,0.32,0
380799,18642,25.52,0,1.6,0.01
572775,411,33.66,0,0.24,0
1284503,1290,34.09,0,11.09,0
1044251,143,61.02,0,17.48,0
216228,5509,16.76,0,1.87,0
159047,1393,17.26,0,0.57,0
1402539,1865,15.05,0,0.59,0
623556,5539,23.08,0,3.32,0
128331,598,14.26,0,1.51,0
132333,21042,6.45,0,0.46,0
1520612,10896,35.3,0,0.56,0
605056,193,73.58,0,0,0
1394871,1544,16.04,0,3.5,0
1415943,24437,23.73,0,1.79,0
959804,7297,40.82,0,3.11,0.03
836650,1900,19.3,0,0.74,0
1344706,319,43.61,0,4.39,0
726131,299,17.51,0,0.67,0
867567,1263,26.21,0,4.83,0
1335030,3156,28.33,0,2.25,0
78858,542,24.77,0,0.92,0
638199,3027,23,0.03,1.49,0
712529,1015,27.88,0,0,0
1371134,2583,25.2,0,1.05,0
598484,504,35.61,0,1.39,0
1044786,12298,18.75,0,1.63,0.02
1196328,6500,18.2,0,0.62,0.02
312173,1079,45.16,0,0.46,0
1000418,5359,24.65,0,0.99,0
986672,422,30.05,0,6.16,0.25
56644,210,35.75,0,1.43,0
1297262,290,41.64,1.07,3.1,0
252483,548,12.55,0,5.47,0
561264,1724,22.74,0,0.75,0
14436,712,26.98,0,16.71,0
16845,529,5.65,0,3.02,0
567098,603,19.06,0,1.66,0
509776,5145,8.47,0,4.31,0
709489,1004,47.96,0,2.59,0
482698,1274,20.44,0,14.76,0
607736,16043,8.38,0,0.32,0.01
1466676,54573,24.78,0,1.23,0
1027950,691,30.4,0,1.45,0
986843,372,24.66,0,1.88,0
127169,569,33.98,0,0.7,0
773504,7449,29.17,0,0.15,0
583865,1100,28.6,0,1.45,0.09
1226803,1092,17.48,0,2.01,0
912453,51148,13.66,0,0.66,0.06
588105,649,29.5,0,2.31,0
1107332,732,27.27,0,8.33,0
805381,12310,14.5,0,1.54,0.01
15500,787,16.47,0,2.03,0
459674,8735,22,0,2.42,0.01
189511,1221,22.5,0,5.73,0
1162633,8699,11.05,0.13,2.21,0
655834,1502,15.63,0,13.52,0
56065,4041,14.83,0.1,1.56,0.03
395204,2205,24.72,0,1.13,0
816340,4332,21.54,0,2.17,0
590953,714,8.24,0,4.76,0.15
1343091,239,38.24,0,0.42,0
126725,1155,19.03,0,2.16,0
771713,4625,14.62,0,4.15,0
96956,1851,13.55,0.44,0.76,0
685983,17164,27.44,0,0.98,0
889664,2172,16.81,0,1.1,0
1272654,244,62.07,0,4.92,0
1533631,239,31.42,0,5.44,0
109357,1491,13.95,0,1.41,0
534656,1020,11.41,0,2.94,0
1364700,216,20.3,0,6.48,0
764512,176,33.33,0,1.14,0
1021365,515,45.24,0,2.14,0
1327845,261,36.68,0,0.77,0
259412,123,25.62,0,1.63,0
1200621,434,31.68,0,2.53,0
133889,426,56.83,0,2.11,0
1168328,178,9.58,0,6.18,0
580519,8143,34.2,0,0.43,0
459911,669,19.38,0,2.84,0
1292708,9243,12.53,0,1.41,0.01
334766,5584,5.93,0,1.29,0.07
755823,7846,36.08,0.08,1.1,0.01
54438,248,40.5,0,2.42,0
1202632,205,46.57,0,0.49,0
1321831,928,52.11,0,0.54,0
599379,6745,37.44,0.25,0.16,0.01
158809,268,16.79,0,2.24,0
28062,303,39.13,0,1.32,0
1438686,1840,22.57,0,1.74,0
1233251,2538,21.09,0,0.99,0
1000772,551,34.43,0,0.91,0
401445,1523,25.32,0,2.23,0
382505,769,55.22,0,0.39,0
1018587,1108,42.02,0,1.62,0
538621,32887,15.65,0,5.4,0
752015,1353,17.64,0,0.3,0.07
467033,1411,16.7,0,1.98,0
1276332,1665,12.69,0,0.6,0
1443182,79670,2.29,0,1.48,0.01
510884,13218,42.53,0,25.65,0
1290119,119125,14.49,0,1.71,0
1218156,1766,42.83,0,9.17,0
1168447,14003,45.97,0,2.42,0.09
157116,7854,23.29,0,4.07,0
755211,408,12.28,0,2.21,0
669622,14868,12.46,0,3.08,0.01
571260,2100,19.33,0.1,0.48,0
120363,10804,22.87,0,1.89,0
738742,898,23.52,0,5.79,0.12
1184283,252,37.2,0,0.79,0
1288231,60432,41.63,0,0.15,0
954792,597,21.87,0,10.39,0
1536543,13712,53.95,0,6.05,0
683923,3283,18.25,0,0.55,0
797402,3810,12.91,0,0.39,0
312949,1694,23.76,0,2.13,0
352745,76107,15.98,0,0.9,0
250670,783,30.4,0,1.28,0
61648,694,26.35,0,1.01,0
171095,3161,5.3,0,2.63,0.03
759762,1378,41.96,0,2.1,0
423990,5097,25.3,0,1.2,0.04
1289463,450,21.08,0,5.11,0
1118003,1787,4.68,0,1.85,0
693890,575,59.3,0,0,0
489998,121256,10.79,0,1.09,0
423231,1972,23.58,0,0.86,0
1216284,132649,19.72,0,1.93,0
865714,167,44.31,0,0,0
69402,454,31.53,0,6.39,0
213313,1474,72.31,0,0.54,0
572381,233,30.43,0,1.29,0
218307,7811,5.52,0,0.01,0.01
1302011,534,22.45,0,0.75,0
174398,880,34.88,0,11.7,0
294790,709,13.92,0,0.71,0
1379278,33833,18.75,0,0.33,0
1399945,508,36.17,0,0.39,0
1043090,7806,11.84,0,2.05,0
799678,424,72.41,0,0,0
328719,1154,26.31,0,0.52,0
41158,4821,37.18,0,0.58,0.02
1094029,2846,27.2,0,1.44,0.04
1125069,364,22.06,0,4.12,0
1138157,496,32.65,0,1.81,0
134875,300,31.65,0,1,0
1037331,14528,1.6,0,1.34,0
967946,1047,23.6,0,16.24,0
945599,260,44.4,0,0.38,0
292604,4759,22.56,0,1.81,0
464429,7081,23.8,0,0.66,0
1224288,320,31.21,0,1.88,0
524742,3039,28.25,0,4.84,0
390233,730,20.69,0,1.37,0
387747,4573,16.04,0,0.72,0
107260,21517,25.02,0,1.56,0.01
475180,1833,20.2,0,1.15,0
189743,1010,51.59,0,3.66,0
1547775,134,30.95,0,5.97,0
1346837,4774,31.12,0,9.07,0.16
558661,450,13.73,0,9.33,0
1113023,6321,32.77,0,6.49,0.02
891444,755,21.19,0,0,0
1351124,7517,9.2,0,4.39,0
153018,6115,24.72,0,0.77,0
183656,1470,20.67,0,3.88,0.07
1272998,1761,2.49,0,1.82,0
52456,268,12.41,0,0.75,0
813710,420,27.91,0,7.86,0
206466,278,11.9,0,3.24,0
1222433,4062,13.69,0,0.54,0
1163498,293,11.38,0,1.02,0
1369419,11849,6.69,0,2.07,0.01
24543,1201,20.9,0,2,0
318451,1789,14.47,0,6.54,0
226648,2815,29.96,0,0.53,0
238665,300,42.2,0.71,6,0
700017,2202,17.91,0,0.36,0
357308,4816,13.4,0,2.87,0
1225720,6205,7.69,0,0.85,0
75694,4099,21.76,0,3.81,0
909519,7516,8.84,0,1.9,0
850223,734,26.98,0,7.08,0
26924,116,26.96,0,0.86,0
1416327,277,37.23,0,1.08,0
794031,624,30.19,0,1.28,0
1293028,379,52.28,0,1.58,0
292611,7487,25.65,0.19,0.92,0
1352165,1824,30.03,0,6.52,0
578895,2652,22.13,0,1.85,0.04
1367564,242,45.53,0,2.89,0
908051,5465,11.09,0,0.71,0.02
721655,1079,50.14,0,1.48,0
1219999,4279,4.82,0,1.52,0
528882,8911,24,0,6.3,0
841005,184,26.37,0,1.09,0
1208335,236379,40.43,0,1.42,0
1440753,232,55.65,0,0.86,0
652520,21321,17.88,0,5.05,0.01
884003,295,16.49,0,1.36,0
235460,119,42.86,0,0,0
1006619,1742,14.58,0.23,0.8,0.06
990439,664,28.53,0,1.81,0
714871,221,9.62,0,5.88,0
306827,1200,20.23,0,6.08,0.18
1007977,1442,4.55,0,0.9,0
48692,2741,14.54,0,2.88,0
1333511,308,21.43,0,0,0
223028,387,32.79,0,5.43,0
1186205,243,34.85,0,0.82,0
41975,292,3.66,0.37,6.51,0
177585,27536,14.82,0.07,1.18,0
335074,171,21.69,0,2.92,0
188905,1593,35.6,0,3.89,0.07
1347494,2737,16.73,0,1.32,0
1077702,8462,12.88,0,2.28,0.04
1260328,6038,18.64,0,1.44,0
105867,269,70.15,0,0.37,0
36422,9304,10.62,0,2.32,0
34917,7964,11.23,0,2.4,0
10674,275,17.27,0,9.45,0
793009,165,26.54,0.62,1.82,0
1170528,3762,25.36,0.05,0.85,0
805811,1170,22.95,0,0.94,0.09
1194973,486,6.65,0,1.03,0
349231,602,12.69,0,3.16,0
114498,1101,40.69,0,2.91,0
10070,1308,22.47,0,5.43,0
474924,482,26.54,0,2.28,0
990687,266,37.36,0,0.38,0
650956,7560,29.08,0,3.37,0
523109,1695,18.42,0.12,0.41,0
854994,986,17.8,0,1.42,0
1310455,8171,15.32,0.04,4.75,0
663761,2381,12.21,0,1.26,0.04
820513,1030,38.11,0,1.17,0
1421060,450,44.84,0,0.89,0
919405,2571,13.83,0,1.01,0
161638,99336,28.96,0,2.74,0.01
1226275,184,17.39,0,0,0
1395705,4412,30.42,0.46,0.61,0.05
696271,556,16.87,0,9.35,0
1507482,687,21.7,0,7.42,0
1420590,491,47.12,0,1.02,0
1426534,68475,19.22,0.05,0.32,0.01
1316686,266,38.17,0,1.5,0
1082985,393,12.79,0,2.54,0.26
53042,547,34.01,0,0.55,0
1253762,5569,18.56,0,1.02,0
573402,31365,12.31,0,0.67,0.01
43102,1788,36.08,0,1.57,0
1520938,353,22.44,0,0.28,0
537619,1263,40.42,0,0.87,0
1029331,16534,17.01,0,0.46,0.02
646435,2400,40.41,0,1.54,0
672301,457,17.15,0,1.75,0
49400,1364,12.8,0,0.37,0
443555,475,41.63,0,4.42,0
318676,2086,8.54,0,3.4,0
279576,291,27.78,0,1.03,0.35
752023,263,23.94,0,1.52,0
616741,523,27.27,0,5.35,0
912710,24455,27.81,0.01,4.33,0
710793,94651,16.05,0,1.25,0.01
1136914,440,24.47,0,13.64,0
800159,558,25.5,0,2.33,0
1435314,2403,28.54,0.21,1.12,0
905881,1836,9.26,0,8.28,0
751214,548,35.14,0,2.37,0
1383118,1398,13.29,0,1,0
363324,677,31.8,0,0.59,0
543810,24363,5.82,0,6.36,0.02
1173487,530,36,0.19,0.94,0
761549,3916,28.25,0,1.02,0
689822,276,17.98,0,3.26,0
715265,155,60,0,0,0
205559,301,38.7,0,2.99,0
1078131,5580,13.6,0,3.17,0
256360,3654,13.99,0,0.41,0
1231256,194,20.94,0,1.55,0
459802,4603,18.64,0.07,2.24,0
632940,3745,42.4,0,1.44,0
888598,3268,14.12,0,2.26,0.06
1051615,1180,25.39,0,1.19,0.09
1496252,47951,15.4,0.04,0.73,0
332532,11359,14.6,0,4.48,0
759486,1893,8.94,0,1.27,0
793881,18842,16.18,0.07,4.6,0
127363,115,66.37,0,1.74,0
543208,10347,10.19,0.05,1.97,0
85263,10061,17.64,0,1.95,0.01
989497,1052,11.49,0,25.57,0
273540,225,20.18,0,0.89,0
932186,3237,44.35,0,5.34,0
1086902,16781,2.53,0,0.79,0
1275812,1100,10.6,0,3.91,0
899743,298,10.69,0,2.68,0
14303,645,47.35,0,3.41,0
554941,176,82.76,0,1.14,0
198444,18965,7.03,0,0.34,0
171556,899,23.58,0,1.89,0
781333,1484,12.02,0,2.49,0
1414608,3538,22.53,0,1.38,0
913836,9097,20.78,0,1.84,0
1017343,263,48.09,0,0.38,0
975483,4184,19.4,0,8.46,0
1271487,985,48.42,0,0.41,0
363072,1256,31.32,0,1.35,0
590307,9218,22.49,0,1.58,0.03
660755,4263,14.98,0,0.54,0
